experiment_serial,experiment_timestamp,model_str,optimizer_str,loss_function_str,metric_function_str,early_stopping_patience,batch_size,epoch,learning_rate,momentum,random_seed,epoch_index,train_loss,validation_loss,train_score,validation_score
DNN_20210324_072916,20210324_072916,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,0,1.8217369370998862,1.2373388725778331,0.4250281848928974,0.6811594202898551
DNN_20210324_072916,20210324_072916,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,1,0.881684609226682,0.6255366944748423,0.769528104364632,0.8115942028985508
DNN_20210324_072916,20210324_072916,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,2,0.5448999774016358,0.4641517475463342,0.8540827830568529,0.863768115942029
DNN_20210324_072916,20210324_072916,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,3,0.4187855436662378,0.3946575766024382,0.8875825414720567,0.881159420289855
DNN_20210324_072916,20210324_072916,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,4,0.3490426540446754,0.34216488975545634,0.9048155902721855,0.8898550724637682
DNN_20210324_072916,20210324_072916,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,5,0.3057883878004956,0.3038646753431986,0.9133515864068288,0.9043478260869565
DNN_20210324_072916,20210324_072916,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,6,0.2712478577367089,0.29839744878581903,0.9220486390723144,0.9159420289855073
DNN_20210324_072916,20210324_072916,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,7,0.24628106987274515,0.2714650069822328,0.9320341439845385,0.9130434782608695
DNN_20210324_072916,20210324_072916,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,8,0.22267067495941695,0.26236872522133414,0.9383153486873893,0.9246376811594202
DNN_20210324_072916,20210324_072916,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,9,0.20463146158564705,0.2604060694683289,0.9412143662425512,0.9217391304347826
